Symbol,pred_prob,predicted_class,confidence,position,Signal,position_size,price,market_return,strategy_return,sized_strategy_return,cumulative_market_return,cumulative_strategy_return,drawdown
AAPL,0.508898,0,0.508898,0,Hold,0.0,234.92999267578125,-0.0005532240636162,-0.0,-0.0,0.0867249199074999,0.0558056061238543,0.0
AAPL,0.4719021,0,0.52809787,0,Hold,0.0,237.3300018310547,0.0101640191618603,0.0,0.0,0.0978267367821175,0.0558056061238543,0.0
AAPL,0.44684574,0,0.55315423,0,Hold,0.0,239.58999633789065,0.0094775284417267,0.0,0.0,0.1082808823829397,0.0558056061238543,0.0
AAPL,0.4206051,0,0.57939494,0,Hold,0.0,242.6499938964844,0.0126909368392794,0.0,0.0,0.1224356336086343,0.0558056061238543,0.0
AAPL,0.41588485,0,0.58411515,0,Hold,0.0,243.009994506836,0.001482521454861,0.0,0.0,0.1241009026106676,0.0558056061238543,0.0
AAPL,0.41441578,0,0.5855842,0,Hold,0.0,243.0399932861328,0.000123439070418,0.0,0.0,0.124239669145572,0.0558056061238543,0.0
AAPL,0.4152415,0,0.5847585,0,Hold,0.0,242.83999633789065,-0.0008232360410316,-0.0,-0.0,0.1233145353851492,0.0558056061238543,0.0
AAPL,0.42915365,0,0.5708463,0,Hold,0.0,246.75,0.015972903131696,0.0,0.0,0.1414011933216175,0.0558056061238543,0.0
AAPL,0.44289234,0,0.5571077,0,Hold,0.0,247.7700042724609,0.0041252354208013,0.0,0.0,0.1461194672579093,0.0558056061238543,0.0
AAPL,0.45600858,0,0.54399145,0,Hold,0.0,246.4900054931641,-0.0051794667403223,-0.0,-0.0,0.1401985264913861,0.0558056061238543,0.0
AAPL,0.46972278,0,0.53027725,0,Hold,0.0,247.9600067138672,0.0059460229160607,0.0,0.0,0.1469983690344247,0.0558056061238543,0.0
AAPL,0.48229882,0,0.51770115,0,Hold,0.0,248.1300048828125,0.0006853521402387,0.0,0.0,0.1477847362599431,0.0558056061238543,0.0
AAPL,0.493862,0,0.50613797,0,Hold,0.0,251.0399932861328,0.0116594401901398,0.0,0.0,0.1612455842279343,0.0558056061238543,0.0
AAPL,0.50495315,0,0.50495315,0,Hold,0.0,253.47999572753903,0.0096726453595876,0.0,0.0,0.1725323996213639,0.0558056061238543,0.0
AAPL,0.5100383,0,0.5100383,0,Hold,0.0,248.0500030517578,-0.0216545565500444,-0.0,-0.0,0.1474146686391375,0.0558056061238543,0.0
AAPL,0.5084992,0,0.5084992,0,Hold,0.0,249.7899932861328,0.0069901869364548,0.0,0.0,0.1554634099963154,0.0558056061238543,0.0
AAPL,0.50656253,0,0.50656253,0,Hold,0.0,254.4900054931641,0.0186410260862355,0.0,0.0,0.1772044415737486,0.0558056061238543,0.0
AAPL,0.5039376,0,0.5039376,0,Hold,0.0,255.2700042724609,0.0030602611938598,0.0,0.0,0.1808125126476243,0.0558056061238543,0.0
AAPL,0.50354683,0,0.50354683,0,Hold,0.0,258.20001220703125,0.0114127004233638,0.0,0.0,0.194365965749794,0.0558056061238543,0.0
AAPL,0.50258803,0,0.50258803,0,Hold,0.0,259.0199890136719,0.0031707106904937,0.0,0.0,0.1981589647593002,0.0558056061238543,0.0
AAPL,0.50222325,0,0.50222325,0,Hold,0.0,255.58999633789065,-0.0133306526011646,-0.0,-0.0,0.1822927125476647,0.0558056061238543,0.0
AAPL,0.5020188,0,0.5020188,0,Hold,0.0,252.1999969482422,-0.0133521723490229,-0.0,-0.0,0.1666114588548406,0.0558056061238543,0.0
AAPL,0.5019038,0,0.5019038,0,Hold,0.0,250.4199981689453,-0.0070829105014057,-0.0,-0.0,0.1583776483956696,0.0558056061238543,0.0
AAPL,0.50180393,0,0.50180393,0,Hold,0.0,243.8500061035156,-0.0265861937430101,-0.0,-0.0,0.1279865773375337,0.0558056061238543,0.0
AAPL,0.50167143,0,0.50167143,0,Hold,0.0,243.3600006103516,-0.0020114761668546,-0.0,-0.0,0.125719939628794,0.0558056061238543,0.0
AAPL,0.5204146,0,0.5204146,0,Hold,0.0,245.0,0.0067163795257249,0.0,0.0,0.1333061493973508,0.0558056061238543,0.0
AAPL,0.553872,0,0.553872,0,Hold,0.0,242.2100067138672,-0.0114530643672932,-0.0,-0.0,0.1204003675689768,0.0558056061238543,0.0
AAPL,0.6053197,1,0.6053197,1,Buy,0.2106393575668335,242.6999969482422,0.0020209539809241,0.0,0.0,0.1226669346945354,0.0558056061238543,0.0
AAPL,0.6692041,1,0.6692041,1,Buy,0.3384082317352295,236.8500061035156,-0.0243990450190571,-0.0243990450190571,-0.0051393991680584,0.0956064016404667,0.0503933195337886,-0.0054122865900656
AAPL,0.7312155,1,0.7312155,1,Buy,0.4624309539794922,234.3999938964844,-0.0103980234753325,-0.0103980234753325,-0.0035187767378286,0.0842732836799482,0.0467037152093681,-0.0091018909144862
AAPL,0.77835196,1,0.77835196,1,Buy,0.5567039251327515,233.27999877929688,-0.0047895880764557,-0.0047895880764557,-0.0022148537833642,0.0790924781550352,0.0443879849742776,-0.0114176211495766
